Vulnerability,Vector,URL/Domain,Parameter/Name,Payload/Issue
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%22%3E%3Cscript%3Ealert%281%29%3C%2Fscript%3E,page,"""><script>alert(1)</script>"
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=user-info.php&page=user-info.php&username=%27a&password=%27a&user-info-php-submit-button=View+Account+Details,Multiple/Form,'a
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=user-info.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=user-info.php&page=user-info.php&username=%27e&password=%27e&user-info-php-submit-button=View+Account+Details,Multiple/Form,'e
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,'b
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,'e
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,'c
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=add-to-your-blog.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,URL,http://10.200.108.120/mutillidae/index.php?do=%27b&page=capture-data.php,do,'b
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=%22%3E%3Cscript%3Ealert%281%29%3C%2Fscript%3E&page=capture-data.php,do,"""><script>alert(1)</script>"
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=dns-lookup.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=dns-lookup.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&username=anonymous,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=password-generator.php&username=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,username,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=set-background-color.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=set-background-color.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=set-background-color.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Cookie Security,INFO,10.200.108.120,PHPSESSID,Secure:False HttpOnly:False
Cookie Security,INFO,10.200.108.120,showhints,Secure:False HttpOnly:False
