Sévérité,Type,URL,Détail,Preuve
high,MISSING_HEADER_CONTENT_SECURITY_POLICY,http://10.189.121.120/mutillidae/index.php?page=login.php,Content-Security-Policy (CSP) est absent. Cet en-tête réduit les risques XSS en définissant les sources de contenu autorisées.,En-tête 'Content-Security-Policy' absent de la réponse HTTP (status 200).
high,MISSING_HEADER_STRICT_TRANSPORT_SECURITY,http://10.189.121.120/mutillidae/index.php?page=login.php,Strict-Transport-Security (HSTS) est absent. Cet en-tête force les connexions HTTPS et prévient les attaques de downgrade.,En-tête 'Strict-Transport-Security' absent de la réponse HTTP (status 200).
high,XSS_REFLECTED,http://10.189.121.120/mutillidae/index.php?page=login.php,XSS Reflected détecté sur le paramètre GET 'page'.,Payload reflété : <script>alert('XSS')</script>
high,XSS_REFLECTED,http://10.189.121.120/mutillidae/index.php?page=login.php,XSS Reflected détecté dans le formulaire POST (action: 'index.php?page=login.php').,Payload reflété : <script>alert('XSS')</script>
high,COOKIE_MISSING_SECURE_FLAG,http://10.189.121.120/mutillidae/index.php?page=login.php,Cookie 'PHPSESSID' sans flag Secure — transmis en clair sur HTTP.,Cookie: PHPSESSID | Secure: False | HttpOnly: False | SameSite: absent | Sensible: True
high,COOKIE_MISSING_HTTPONLY_FLAG,http://10.189.121.120/mutillidae/index.php?page=login.php,Cookie 'PHPSESSID' sans flag HttpOnly — accessible via JavaScript (risque XSS).,Cookie: PHPSESSID | Secure: False | HttpOnly: False | SameSite: absent | Sensible: True
high,CSRF_NO_TOKEN_IN_FORM,http://10.189.121.120/mutillidae/index.php?page=login.php,Formulaire POST sans token CSRF détecté (action : 'index.php?page=login.php'). Un attaquant peut forcer un utilisateur authentifié à soumettre ce formulaire à son insu. Ce formulaire semble sensible (mot de passe / email).,"Action: index.php?page=login.php | Champs: ['username', 'password', 'login-php-submit-button']"
high,ADMIN_PANEL_ACCESSIBLE,http://10.189.121.120/phpinfo.php,Interface d'administration ou de diagnostic accessible publiquement : '/phpinfo.php'. L'accès devrait être restreint par IP ou authentification.,Status: 200 | Taille réponse: 49193 octets
high,MISSING_HEADER_CONTENT_SECURITY_POLICY,http://10.189.121.120/mutillidae/index.php?page=login.php,Content-Security-Policy (CSP) est absent. Cet en-tête réduit les risques XSS en définissant les sources de contenu autorisées.,En-tête 'Content-Security-Policy' absent de la réponse HTTP (status 200).
high,MISSING_HEADER_STRICT_TRANSPORT_SECURITY,http://10.189.121.120/mutillidae/index.php?page=login.php,Strict-Transport-Security (HSTS) est absent. Cet en-tête force les connexions HTTPS et prévient les attaques de downgrade.,En-tête 'Strict-Transport-Security' absent de la réponse HTTP (status 200).
