Vulnerability,Vector,URL/Domain,Parameter/Name,Payload/Issue
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%22%3E%3Cscript%3Ealert%281%29%3C%2Fscript%3E,page,"""><script>alert(1)</script>"
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=user-info.php&page=user-info.php&username=%27c&password=%27c&user-info-php-submit-button=View+Account+Details,Multiple/Form,'c
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=user-info.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=user-info.php&page=user-info.php&username=%27c&password=%27c&user-info-php-submit-button=View+Account+Details,Multiple/Form,'c
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,'e
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,'a
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,'c
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=register.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=add-to-your-blog.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,URL,http://10.200.108.120/mutillidae/index.php?do=%27e&page=capture-data.php,do,'e
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=%22%3E%3Cscript%3Ealert%281%29%3C%2Fscript%3E&page=capture-data.php,do,"""><script>alert(1)</script>"
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=dns-lookup.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=dns-lookup.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&username=anonymous,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=password-generator.php&username=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,username,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=set-background-color.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=set-background-color.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=set-background-color.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fwww.irongeek.com%2F,page,<script>alert('XSS')</script>
